source,target
4134,26126
2077,21673
2370,196595
3537,24472
3022,348610
3893,196595
2925,347431
72,853
71,196599
1315,20916
2421,18692
3021,20033
19862,19838
92,3181
2177,3340
853,196658
86,73
2743,217167
92,172953
1892,2343
2459,348543
3503,257618
2746,348543
71,196747
71,32841
71,20910
36823,858
2459,5832
93,1262
19124,348538
3021,18058
1315,19749
36823,2612
92,197251
1315,2975
5747,196607
73,348494
2442,30681
1888,2660
3503,348557
22399,30679
25691,25653
4999,348557
3503,21669
3492,196657
3492,4200
72,348557
2226,56030
2743,24029
2444,2710
1888,348557
3195,24716
5710,196657
73,19838
22402,42125
5203,211195
844,347416
92,1378
1315,23989
3537,196595
2981,24562
9442,19749
1888,2725
2411,23644
2991,24579
25653,25676
71,348537
92,196654
2421,3852
2725,1990
76,92
19862,19863
36823,853
1892,2497
1315,197572
78820,196602
2354,4194
9508,32119
86,196639
22399,221006
2425,348484
4134,224917
1315,23992
36823,348539
3469,196657
831,196595
3260,196595
19124,348580
2473,23776
92,21276
853,19875
19862,9878
1315,23991
3014,196602
1302,199197
2725,4957
2615,348592
36822,5060
2925,24469
1315,196752
2884,23698
18351,348548
2504,53342
25691,25694
92,197509
69147,196595
1315,15978
3022,16234
2743,182368
79,196635
1892,172965
3537,173468
92,2543
92,10064
92,245995
3483,196595
2459,196712
2910,177518
76,1427
73,92
17493,3301
1317,2477
2228,196595
2406,19749
71,196607
25691,46876
92,197511
19124,348588
2725,348626
15355,37095
3483,196657
92,197526
2222,22281
2459,348575
2236,348543
22402,348543
3492,199197
3340,5831
72,1317
67890,20131
2981,255115
3493,1399
2442,27840
2743,217168
2177,1316
657,1938
93,348558
2444,2855
4125,15577
1888,79
4134,26125
9508,5453
2236,21482
6584,348543
2699,196595
92,197547
826,196658
1317,196595
2444,196595
92,6759
2921,173301
79,29108
73,3253
4134,197574
71,4173
1315,23980
1892,196749
2071,199197
4999,348936
5710,25244
1315,20915
826,3473
22399,196658
3022,348543
2459,199197
177405,347780
2861,50568
1888,24535
18082,197038
76,196612
2925,19749
2504,196595
71,32829
25691,25654
25691,25682
1315,348543
3339,20299
3340,347429
2077,197574
92,3493
5203,199015
3537,348543
2442,23746
92,196602
2109,196602
71,196608
25691,3757
2406,199197
2746,3415
2869,196595
3763,216080
2884,196602
2725,348586
3021,196602
25653,25673
25691,25639
2928,196602
92,2454
1315,3262
3728,15188
3021,197038
851,844
92,197538
79,1059
3469,196595
6584,348647
2910,39142
4986,196595
73,1166
86,3253
92,197506
71,21341
67890,20130
2459,1634
6557,199197
76,848
92,10186
92,21277
72,39372
3472,348579
4120,20036
2861,20521
78820,196657
4643,348455
2725,199197
657,196704
3021,196611
3022,221006
2974,348557
86,19862
1892,79468
3022,348518
844,5746
2699,225349
73,86
2406,347418
2699,24067
2442,199015
